Index       V(2)            I(VLOAD)     
0        0.00000000e+00    3.49964995e+00
1        5.00000000e-03    3.49963993e+00
2        1.00000000e-02    3.49962992e+00
3        1.50000000e-02    3.49961991e+00
4        2.00000000e-02    3.49960989e+00
5        2.50000000e-02    3.49959987e+00
6        3.00000000e-02    3.49958984e+00
7        3.50000000e-02    3.49957982e+00
8        4.00000000e-02    3.49956979e+00
9        4.50000000e-02    3.49955975e+00
10       5.00000000e-02    3.49954972e+00
11       5.50000000e-02    3.49953967e+00
12       6.00000000e-02    3.49952962e+00
13       6.50000000e-02    3.49951956e+00
14       7.00000000e-02    3.49950950e+00
15       7.50000000e-02    3.49949942e+00
16       8.00000000e-02    3.49948934e+00
17       8.50000000e-02    3.49947924e+00
18       9.00000000e-02    3.49946913e+00
19       9.50000000e-02    3.49945900e+00
20       1.00000000e-01    3.49944886e+00
21       1.05000000e-01    3.49943870e+00
22       1.10000000e-01    3.49942851e+00
23       1.15000000e-01    3.49941830e+00
24       1.20000000e-01    3.49940806e+00
25       1.25000000e-01    3.49939778e+00
26       1.30000000e-01    3.49938747e+00
27       1.35000000e-01    3.49937711e+00
28       1.40000000e-01    3.49936671e+00
29       1.45000000e-01    3.49935625e+00
30       1.50000000e-01    3.49934572e+00
31       1.55000000e-01    3.49933513e+00
32       1.60000000e-01    3.49932445e+00
33       1.65000000e-01    3.49931368e+00
34       1.70000000e-01    3.49930280e+00
35       1.75000000e-01    3.49929180e+00
36       1.80000000e-01    3.49928066e+00
37       1.85000000e-01    3.49926937e+00
38       1.90000000e-01    3.49925790e+00
39       1.95000000e-01    3.49924623e+00
40       2.00000000e-01    3.49923432e+00
41       2.05000000e-01    3.49922216e+00
42       2.10000000e-01    3.49920969e+00
43       2.15000000e-01    3.49919689e+00
44       2.20000000e-01    3.49918370e+00
45       2.25000000e-01    3.49917008e+00
46       2.30000000e-01    3.49915595e+00
47       2.35000000e-01    3.49914126e+00
48       2.40000000e-01    3.49912592e+00
49       2.45000000e-01    3.49910985e+00
50       2.50000000e-01    3.49909294e+00
51       2.55000000e-01    3.49907508e+00
52       2.60000000e-01    3.49905614e+00
53       2.65000000e-01    3.49903597e+00
54       2.70000000e-01    3.49901441e+00
55       2.75000000e-01    3.49899125e+00
56       2.80000000e-01    3.49896628e+00
57       2.85000000e-01    3.49893926e+00
58       2.90000000e-01    3.49890989e+00
59       2.95000000e-01    3.49887787e+00
60       3.00000000e-01    3.49884281e+00
61       3.05000000e-01    3.49880431e+00
62       3.10000000e-01    3.49876189e+00
63       3.15000000e-01    3.49871502e+00
64       3.20000000e-01    3.49866308e+00
65       3.25000000e-01    3.49860538e+00
66       3.30000000e-01    3.49854112e+00
67       3.35000000e-01    3.49846941e+00
68       3.40000000e-01    3.49838923e+00
69       3.45000000e-01    3.49829940e+00
70       3.50000000e-01    3.49819862e+00
71       3.55000000e-01    3.49808538e+00
72       3.60000000e-01    3.49795797e+00
73       3.65000000e-01    3.49781446e+00
74       3.70000000e-01    3.49765264e+00
75       3.75000000e-01    3.49747001e+00
76       3.80000000e-01    3.49726373e+00
77       3.85000000e-01    3.49703057e+00
78       3.90000000e-01    3.49676688e+00
79       3.95000000e-01    3.49646850e+00
80       4.00000000e-01    3.49613072e+00
81       4.05000000e-01    3.49574818e+00
82       4.10000000e-01    3.49531485e+00
83       4.15000000e-01    3.49482385e+00
84       4.20000000e-01    3.49426741e+00
85       4.25000000e-01    3.49363675e+00
86       4.30000000e-01    3.49292193e+00
87       4.35000000e-01    3.49211172e+00
88       4.40000000e-01    3.49119344e+00
89       4.45000000e-01    3.49015281e+00
90       4.50000000e-01    3.48897373e+00
91       4.55000000e-01    3.48763810e+00
92       4.60000000e-01    3.48612559e+00
93       4.65000000e-01    3.48441342e+00
94       4.70000000e-01    3.48247609e+00
95       4.75000000e-01    3.48028514e+00
96       4.80000000e-01    3.47780887e+00
97       4.85000000e-01    3.47501209e+00
98       4.90000000e-01    3.47185580e+00
99       4.95000000e-01    3.46829703e+00
100      5.00000000e-01    3.46428851e+00
101      5.05000000e-01    3.45977854e+00
102      5.10000000e-01    3.45471085e+00
103      5.15000000e-01    3.44902447e+00
104      5.20000000e-01    3.44265382e+00
105      5.25000000e-01    3.43552876e+00
106      5.30000000e-01    3.42757490e+00
107      5.35000000e-01    3.41871392e+00
108      5.40000000e-01    3.40886419e+00
109      5.45000000e-01    3.39794142e+00
110      5.50000000e-01    3.38585957e+00
111      5.55000000e-01    3.37253188e+00
112      5.60000000e-01    3.35787200e+00
113      5.65000000e-01    3.34179535e+00
114      5.70000000e-01    3.32422037e+00
115      5.75000000e-01    3.30506993e+00
116      5.80000000e-01    3.28427263e+00
117      5.85000000e-01    3.26176405e+00
118      5.90000000e-01    3.23748776e+00
119      5.95000000e-01    3.21139623e+00
120      6.00000000e-01    3.18345146e+00
121      6.05000000e-01    3.15362537e+00
122      6.10000000e-01    3.12189988e+00
123      6.15000000e-01    3.08826682e+00
124      6.20000000e-01    3.05272757e+00
125      6.25000000e-01    3.01529245e+00
126      6.30000000e-01    2.97598009e+00
127      6.35000000e-01    2.93481651e+00
128      6.40000000e-01    2.89183429e+00
129      6.45000000e-01    2.84707159e+00
130      6.50000000e-01    2.80057125e+00
131      6.55000000e-01    2.75237985e+00
132      6.60000000e-01    2.70254689e+00
133      6.65000000e-01    2.65112399e+00
134      6.70000000e-01    2.59816419e+00
135      6.75000000e-01    2.54372132e+00
136      6.80000000e-01    2.48784944e+00
137      6.85000000e-01    2.43060242e+00
138      6.90000000e-01    2.37203351e+00
139      6.95000000e-01    2.31219504e+00
140      7.00000000e-01    2.25113816e+00
141      7.05000000e-01    2.18891265e+00
142      7.10000000e-01    2.12556679e+00
143      7.15000000e-01    2.06114720e+00
144      7.20000000e-01    1.99569881e+00
145      7.25000000e-01    1.92926482e+00
146      7.30000000e-01    1.86188664e+00
147      7.35000000e-01    1.79360396e+00
148      7.40000000e-01    1.72445472e+00
149      7.45000000e-01    1.65447514e+00
150      7.50000000e-01    1.58369980e+00
151      7.55000000e-01    1.51216165e+00
152      7.60000000e-01    1.43989211e+00
153      7.65000000e-01    1.36692106e+00
154      7.70000000e-01    1.29327698e+00
155      7.75000000e-01    1.21898694e+00
156      7.80000000e-01    1.14407671e+00
157      7.85000000e-01    1.06857082e+00
158      7.90000000e-01    9.92492571e-01
159      7.95000000e-01    9.15864158e-01
160      8.00000000e-01    8.38706688e-01
161      8.05000000e-01    7.61040245e-01
162      8.10000000e-01    6.82883946e-01
163      8.15000000e-01    6.04255988e-01
164      8.20000000e-01    5.25173697e-01
165      8.25000000e-01    4.45653576e-01
166      8.30000000e-01    3.65711350e-01
167      8.35000000e-01    2.85362002e-01
168      8.40000000e-01    2.04619819e-01
